GA,amount_supranormal
27.0,17
27.0,2
27.0,0
27.0,1
27.0,8
27.0,8
27.0,1
27.0,0
27.0,2
27.0,1
27.0,1
27.0,6
27.0,0
27.0,1
27.0,1
27.0,0
27.0,1
27.0,2
27.0,1
27.0,1
27.0,1
27.0,1
27.0,2
27.0,2
27.0,2
27.0,1
27.0,1
27.0,2
27.0,1
27.0,0
27.0,5
27.0,7
27.0,1
27.0,4
27.0,13
27.0,2
27.0,1
27.0,1
27.0,2
27.0,0
27.0,15
27.0,2
27.0,15
27.0,22
27.0,1
27.0,2
27.0,1
27.0,1
27.0,2
27.0,11
27.0,3
27.0,1
27.0,1
27.0,4
27.0,3
27.0,9
28.0,5
28.0,0
28.0,0
28.0,1
28.0,6
28.0,0
28.0,3
28.0,5
28.0,9
28.0,7
28.0,3
28.0,1
28.0,1
28.0,1
29.0,1
29.0,3
29.0,2
29.0,2
29.0,2
29.0,1
30.0,1
30.0,1
30.0,19
30.0,5
30.0,1
30.0,1
30.0,1
30.0,1
30.0,1
30.0,1
30.0,1
30.0,1
30.0,1
30.0,1
30.0,1
30.0,1
30.0,1
30.0,6
30.0,6
30.0,1
30.0,1
30.0,3
30.0,10
30.0,2
30.0,1
30.0,1
30.0,1
30.0,1
30.0,0
30.0,1
30.0,1
30.0,1
30.0,1
30.0,2
31.0,1
31.0,1
31.0,6
31.0,1
31.0,8
31.0,3
31.0,1
31.0,6
31.0,1
31.0,1
31.0,1
31.0,1
31.0,1
31.0,2
31.0,4
31.0,4
31.0,2
31.0,1
31.0,1
31.0,2
31.0,2
31.0,1
31.0,4
31.0,0
31.0,2
31.0,3
31.0,3
31.0,3
31.0,4
31.0,10
31.0,1
31.0,1
31.0,4
31.0,1
31.0,3
31.0,1
31.0,1
31.0,1
31.0,1
31.0,2
31.0,3
31.0,1
31.0,1
31.0,2
31.0,3
31.0,4
31.0,1
31.0,1
31.0,5
31.0,2
31.0,4
31.0,0
31.0,1
31.0,5
32.0,8
32.0,1
32.0,5
32.0,0
32.0,0
32.0,1
32.0,2
32.0,2
32.0,1
32.0,2
32.0,1
32.0,4
32.0,3
32.0,5
32.0,0
32.0,5
32.0,1
32.0,2
32.0,2
32.0,1
32.0,1
32.0,2
32.0,1
32.0,4
32.0,8
32.0,3
32.0,1
32.0,1
32.0,4
32.0,1
32.0,1
32.0,2
32.0,1
32.0,18
32.0,1
32.0,5
32.0,2
32.0,0
32.0,19
32.0,2
32.0,2
32.0,2
32.0,2
32.0,1
32.0,2
32.0,6
32.0,3
32.0,2
32.0,2
32.0,2
32.0,2
32.0,0
32.0,1
32.0,1
32.0,12
32.0,7
32.0,3
32.0,3
32.0,0
32.0,4
32.0,1
32.0,1
32.0,3
32.0,1
32.0,1
32.0,1
32.0,1
32.0,1
32.0,2
32.0,2
32.0,1
32.0,1
32.0,1
32.0,3
32.0,3
32.0,2
32.0,2
32.0,2
32.0,6
32.0,1
32.0,1
32.0,1
32.0,1
32.0,0
32.0,0
32.0,1
32.0,1
32.0,1
32.0,2
32.0,0
32.0,3
32.0,1
32.0,18
32.0,19
32.0,4
32.0,1
32.0,1
32.0,3
32.0,1
32.0,3
32.0,0
32.0,0
32.0,1
32.0,0
32.0,1
32.0,2
32.0,1
32.0,1
32.0,15
32.0,10
32.0,1
32.0,1
32.0,7
32.0,3
32.0,3
32.0,1
32.0,4
32.0,1
32.0,2
32.0,3
32.0,1
32.0,2
32.0,3
32.0,3
32.0,1
32.0,0
32.0,3
32.0,2
32.0,1
32.0,0
32.0,1
32.0,2
32.0,1
32.0,1
32.0,0
32.0,0
32.0,1
32.0,1
32.0,1
32.0,8
32.0,2
32.0,2
32.0,6
32.0,6
32.0,1
32.0,0
32.0,1
32.0,1
32.0,2
32.0,2
32.0,0
32.0,1
32.0,3
32.0,2
32.0,2
32.0,1
32.0,1
32.0,1
32.0,3
32.0,1
32.0,1
32.0,0
32.0,5
32.0,3
32.0,1
32.0,3
32.0,1
32.0,0
32.0,10
32.0,9
32.0,3
32.0,2
32.0,3
32.0,1
32.0,2
32.0,2
32.0,1
32.0,0
32.0,1
32.0,1
32.0,1
32.0,2
32.0,1
32.0,1
32.0,1
32.0,2
32.0,1
32.0,3
32.0,1
32.0,1
32.0,0
32.0,0
32.0,0
32.0,3
32.0,1
32.0,1
32.0,1
32.0,2
32.0,4
32.0,0
32.0,6
32.0,4
32.0,1
32.0,1
32.0,1
32.0,1
32.0,2
32.0,2
32.0,0
32.0,1
32.0,2
32.0,2
32.0,7
32.0,4
32.0,1
32.0,0
32.0,2
32.0,3
