,PC1_loadings
centile_CT_bankssts,0.16829255947788718
centile_CT_caudalanteriorcingulate,0.07422962102060815
centile_CT_caudalmiddlefrontal,0.19217182308045397
centile_CT_cuneus,0.16674663953203406
centile_CT_entorhinal,0.08204431132331862
centile_CT_fusiform,0.20092246009594159
centile_CT_inferiorparietal,0.22582411445296643
centile_CT_inferiortemporal,0.19519556698084597
centile_CT_isthmuscingulate,0.08999360203978672
centile_CT_lateraloccipital,0.20491072189712306
centile_CT_lateralorbitofrontal,0.17319792920262622
centile_CT_lingual,0.1631140540566287
centile_CT_medialorbitofrontal,0.1261840878460889
centile_CT_middletemporal,0.20299870467772715
centile_CT_parahippocampal,0.09543830373516006
centile_CT_paracentral,0.1926415287621733
centile_CT_parsopercularis,0.18761815211963032
centile_CT_parsorbitalis,0.16142303630968297
centile_CT_parstriangularis,0.19277687299370627
centile_CT_pericalcarine,0.14248801552612123
centile_CT_postcentral,0.1801224218287714
centile_CT_posteriorcingulate,0.11831364213761499
centile_CT_precentral,0.19671339357059603
centile_CT_precuneus,0.21887554626027064
centile_CT_rostralanteriorcingulate,0.0989172015199693
centile_CT_rostralmiddlefrontal,0.21322406635488797
centile_CT_superiorfrontal,0.2108473102498833
centile_CT_superiorparietal,0.2122423684774645
centile_CT_superiortemporal,0.20719263219796416
centile_CT_supramarginal,0.2179028990293427
centile_CT_frontalpole,0.11584271430903836
centile_CT_temporalpole,0.12080229219216036
centile_CT_transversetemporal,0.15680764359997684
centile_CT_insula,0.125140482716235
