rois,infranormal_pt,supranormal_pt
Z_L_bankssts,12.5,6.25
Z_R_bankssts,20.833333333333336,7.291666666666667
Z_L_caudalanteriorcingulate,6.25,7.291666666666667
Z_R_caudalanteriorcingulate,6.25,11.458333333333332
Z_L_caudalmiddlefrontal,4.166666666666666,1.0416666666666665
Z_R_caudalmiddlefrontal,8.333333333333332,6.25
Z_L_cuneus,4.166666666666666,7.291666666666667
Z_R_cuneus,9.375,5.208333333333334
Z_L_entorhinal,15.625,6.25
Z_R_entorhinal,7.291666666666667,7.291666666666667
Z_L_fusiform,11.458333333333332,2.083333333333333
Z_R_fusiform,9.375,2.083333333333333
Z_L_inferiorparietal,20.833333333333336,3.125
Z_R_inferiorparietal,17.708333333333336,3.125
Z_L_inferiortemporal,7.291666666666667,5.208333333333334
Z_R_inferiortemporal,8.333333333333332,8.333333333333332
Z_L_isthmuscingulate,4.166666666666666,12.5
Z_R_isthmuscingulate,1.0416666666666665,10.416666666666668
Z_L_lateraloccipital,2.083333333333333,3.125
Z_R_lateraloccipital,5.208333333333334,3.125
Z_L_lateralorbitofrontal,7.291666666666667,7.291666666666667
Z_R_lateralorbitofrontal,11.458333333333332,10.416666666666668
Z_L_lingual,13.541666666666666,10.416666666666668
Z_R_lingual,8.333333333333332,6.25
Z_L_medialorbitofrontal,4.166666666666666,15.625
Z_R_medialorbitofrontal,2.083333333333333,13.541666666666666
Z_L_middletemporal,18.75,2.083333333333333
Z_R_middletemporal,27.083333333333332,2.083333333333333
Z_L_parahippocampal,8.333333333333332,7.291666666666667
Z_R_parahippocampal,11.458333333333332,7.291666666666667
Z_L_paracentral,4.166666666666666,11.458333333333332
Z_R_paracentral,7.291666666666667,10.416666666666668
Z_L_parsopercularis,10.416666666666668,3.125
Z_R_parsopercularis,12.5,9.375
Z_L_parsorbitalis,18.75,2.083333333333333
Z_R_parsorbitalis,14.583333333333334,1.0416666666666665
Z_L_parstriangularis,16.666666666666664,4.166666666666666
Z_R_parstriangularis,6.25,2.083333333333333
Z_L_pericalcarine,2.083333333333333,10.416666666666668
Z_R_pericalcarine,6.25,6.25
Z_L_postcentral,16.666666666666664,9.375
Z_R_postcentral,10.416666666666668,4.166666666666666
Z_L_posteriorcingulate,9.375,10.416666666666668
Z_R_posteriorcingulate,3.125,13.541666666666666
Z_L_precentral,12.5,0.0
Z_R_precentral,13.541666666666666,1.0416666666666665
Z_L_precuneus,6.25,5.208333333333334
Z_R_precuneus,8.333333333333332,3.125
Z_L_rostralanteriorcingulate,3.125,13.541666666666666
Z_R_rostralanteriorcingulate,5.208333333333334,2.083333333333333
Z_L_rostralmiddlefrontal,11.458333333333332,1.0416666666666665
Z_R_rostralmiddlefrontal,9.375,1.0416666666666665
Z_L_superiorfrontal,4.166666666666666,7.291666666666667
Z_R_superiorfrontal,7.291666666666667,10.416666666666668
Z_L_superiorparietal,14.583333333333334,2.083333333333333
Z_R_superiorparietal,11.458333333333332,5.208333333333334
Z_L_superiortemporal,9.375,12.5
Z_R_superiortemporal,15.625,7.291666666666667
Z_L_supramarginal,25.0,6.25
Z_R_supramarginal,15.625,10.416666666666668
Z_L_frontalpole,6.25,4.166666666666666
Z_R_frontalpole,6.25,10.416666666666668
Z_L_temporalpole,7.291666666666667,2.083333333333333
Z_R_temporalpole,13.541666666666666,2.083333333333333
Z_L_transversetemporal,5.208333333333334,5.208333333333334
Z_R_transversetemporal,4.166666666666666,3.125
Z_L_insula,3.125,1.0416666666666665
Z_R_insula,10.416666666666668,0.0
